Longitude,Latitude,Hotel Name
"-0,12603","51,52031", GB-Montague Managed Services
"-0,55193","51,58952", GB-Ethorpe
"-0,32862","51,23189", GB-White Horse Hotel Dorking
"0,01159","51,49182", GB-London - Greenwich-A102(M)
"0,17613","51,57833", GB-Mawney Hotel
"-0,16214","51,54458", GB-Clive
"-0,10067","51,34932", GB-Innkeepers Lodge Croydon South
"-0,43267","51,48072", GB-Holiday Inn Ariel-London Heathrow
"-0,12545","51,51969", GB-Grange White Hall
"-0,4029","51,87365", GB-Premier Travel Inn
"-0,12298","51,52046", GB-Bedford Hotel
"-0,50952","51,43059", GB-Thames Lodge Hotel
"-0,17735","51,51293", GB-Rca Hotels
"-0,12459","51,5177", GB-Thistle Bloomsbury
"-0,16283","51,18117", GB-London Gatwick
"-0,14122","51,57368", GB-Winchester Hotel
"-0,15027","51,50034", GB-The Halkin
"-0,1232","51,50785", GB-Charing Cross
"-0,06024","51,5662", GB-New Springfield Hotel
"-0,5624","51,23891", GB-Bearstead
"-0,19524","51,50896", GB-Notting Hill
"-0,19438","51,49217", GB-Rushmore
"-0,19061","51,49308", GB-Enterprise
"-0,00516","51,53422", GB-London - Stratford
"-0,19071","51,49465", GB-Derby Hotel
"-0,12387","51,51989", GB-Clarendon
"-0,3856","51,69143", GB-Premier Travel Inn
"-0,35902","51,66485", GB-Watford
"-0,3438","51,37992", GB-Haven
"-0,14088","51,52105", GB-Fitzrovia
"-0,10417","51,57693", GB-London Shelton Hotel
"-0,14958","51,51792", GB-Jurys Clifton Ford
"0,1908","51,72419", GB-Travelodge Harlow East
"0,11461","51,39388", GB-Mary Rose Hotel
"0,12667","51,7561", GB-Harlow
"0,12604","51,4362", GB-Albany Hotel
"-0,18049","51,51093", GB-Lancaster Gate
"-0,01396","51,57461", GB-Sleeping Beauty Motel
"-0,18885","51,12568", GB-Holiday Inn-London Gatwick
"-0,19698","51,49797", GB-Tara
"-0,18508","51,50162", GB-Thistle Kensington Palace
"-0,19087","51,4924", GB-Burns
